"","X","ID","RMAX","N0","NMAX","TLAG","A","AIC_gompertz","AIC_logistic","AIC_baranyi","AIC_buchanan","BIC_gompertz","BIC_logistic","BIC_baranyi","BIC_buchanan"
"1",0,"Chryseobacterium.balustinum_5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",0.000344284114990962,-4.75259191183338,-1.25473627790609,-8100.57689862084,0.264010944171736,29.9391260693457,-100.474003576776,0,0,35.2679441100465,-95.1451855360753,0,0
"2",1,"Enterobacter.sp._5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",7.49680019486911e-05,-0.865921996067039,-0.541427050720785,-3912.81230990245,0.625260766189,30.2041846453197,23.0896310600446,34.0791278740685,16.8633037962524,35.5330026860206,28.4184491007454,40.7401504249445,16.8633037962524
"3",2,"Pantoea.agglomerans.1_5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",0.0614840224723876,-1.30501616762816,-0.654994854344957,48.5226836484963,0.501905547680223,0,67.5154633469209,68.9512931347044,0,0,72.8442813876217,75.6123156855805,0
"4",3,"Pantoea.agglomerans.2_5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",0.000875831007334379,-6.3543700407973,-0.571898879467048,140.099369741847,0.0900008774741248,0,67.4855924046183,0,0,0,73.0903819312669,0,0
"5",4,"Bacillus.pumilus_5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",0.0317260692737061,-0.940030719177228,-0.904628792126312,143.737734899227,0.962339606218505,69.3738934190498,70.9701221954206,84.5910662631479,0,74.4062795711357,76.0025083475065,90.8815489532553,0
"6",5,"Clavibacter.michiganensis_5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",0.0158690656017831,-1.43743332261108,-0.931062049194467,134.824948511241,0.647725382839467,64.3196896691936,60.7610925884561,55.2851429731854,66.3288769804968,69.6485077098944,66.0899106291569,61.9461655240614,66.3288769804968
"7",6,"Pseudomonas.fluorescens.1_5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",0.0133044160500233,-1.84289843071924,-1.26130373606504,198.994264545532,0.68441305013906,64.2764225052634,67.0203168607753,60.5272333900994,0,69.6052405459642,72.3491349014761,67.1882559409754,0
"8",7,"Pseudomonas.fluorescens.2_5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",0.0157976749742447,-2.09421285900015,-1.76799712254612,219.40558594674,0.844229904781613,78.5680754329318,83.08459074073,79.5919933843527,0,83.8968934736326,88.4134087814308,86.2530159352287,0
"9",8,"Acinetobacter.clacoaceticus.1_5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",0.00689221373294068,-2.19957337465797,-2.10860159645225,249.27418490131,0.958641171395398,37.6943611836333,41.0587201488166,38.3045059645749,38.2687383849132,43.0231792243341,46.3875381895174,44.9655285154509,38.2687383849132
"10",9,"Acinetobacter.clacoaceticus.2_5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",0.0103489265795523,-1.52605630349505,-1.50233977687773,272.99831413347,0.984458943904628,59.4441572720276,58.7162650554431,54.7961232109363,0,64.7729753127284,64.0450830961439,61.4571457618123,0
"11",10,"Stenotrophomonas.maltophilia.1_5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",0.0109264376487646,-1.37763629837677,-1.33048951995107,286.929857108657,0.965777049805342,73.1555588123644,72.9412349509098,72.5749464848609,0,78.4843768530652,78.2700529916106,79.2359690357369,0
"12",11,"Stenotrophomonas.maltophilia.2_5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",0.0107737481425775,-0.993077875087924,-0.920648037243109,312.601179785707,0.927065299044748,75.3339514165352,84.0950282267739,71.1496512272607,0,80.662769457236,89.4238462674747,77.8106737781367,0
"13",12,"Klebsiella.pneumonia_5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",0.0037562985297013,-5.66122286023729,-0.942723988942309,-189.497386936256,0.166523030839099,43.5049882197067,83.4502541015133,110.166226063233,0,48.8338062604075,88.7790721422141,116.827248614109,0
"14",13,"Dickeya.zeae_5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",0.00301299240188193,-5.66122286023729,-3.30984760307391,-420.195425604899,0.584652412524028,0,56.7399610010985,57.7776742420654,0,0,62.0687790417994,64.4386967929415,0
